iter	Logloss
158	0.5131548922
159	0.5128541915
160	0.5126998323
161	0.5125425775
162	0.5123535366
163	0.5121397342
164	0.5119505941
165	0.5117378631
166	0.5115409148
167	0.5111663843
168	0.510949202
169	0.5107946194
170	0.5105743831
171	0.5104269842
172	0.5101397098
173	0.5099751549
174	0.5097743668
175	0.509598904
176	0.5093646453
177	0.5090416047
178	0.5088358722
179	0.5086591341
180	0.5084837382
181	0.5083034981
182	0.5081102018
183	0.5078436611
184	0.5075297529
185	0.5073864678
186	0.5072449473
187	0.5070862748
188	0.5069727945
189	0.5067857823
190	0.5066225544
191	0.5064270037
192	0.5063056393
193	0.5061575923
194	0.5059843717
195	0.5058137507
196	0.5056432804
197	0.5054147701
198	0.505229224
199	0.5050376565
200	0.5049046417
201	0.5046853904
202	0.5044957934
203	0.5043777897
204	0.5041928118
205	0.5040158342
206	0.5038396085
207	0.5037364807
208	0.5035667563
209	0.503269357
210	0.5031121346
211	0.5029248084
212	0.5027544736
213	0.5025240089
214	0.5023992166
215	0.5022535871
216	0.5020637393
217	0.5018980139
218	0.5017092819
219	0.5015627789
220	0.5013986889
221	0.5012355828
222	0.5011072709
223	0.5009791452
224	0.5007917305
225	0.5006294173
226	0.5004711321
227	0.5002863032
228	0.5001473797
229	0.4999809466
230	0.4998445002
231	0.4996502892
232	0.4995020791
233	0.4993744497
234	0.4991135716
235	0.4989828159
236	0.4988500242
237	0.4986569085
238	0.4985303125
239	0.4983616055
240	0.4981714367
241	0.4979774834
242	0.4978568773
243	0.4977476007
244	0.4975937557
245	0.4974230225
246	0.4973194811
247	0.4971927915
248	0.4970567883
249	0.496902079
250	0.4967073583
251	0.4965292313
252	0.4963523159
253	0.4961499957
254	0.4959766266
255	0.4958532976
256	0.4957352785
257	0.4955381879
258	0.4952867278
259	0.4950726615
260	0.4948786376
261	0.4946984603
262	0.4945731559
263	0.4944110562
264	0.4943041287
265	0.4941320072
266	0.4939624462
267	0.4938284889
268	0.4936787433
269	0.4935348092
270	0.493355113
271	0.4932116137
272	0.4930722801
273	0.4929304371
274	0.4928501433
275	0.4927128406
276	0.4925693636
277	0.4923872523
278	0.492195491
279	0.4920237339
280	0.4918872973
281	0.4917694041
282	0.4916063348
283	0.4914770607
284	0.4913641128
285	0.4912295705
286	0.4910703045
287	0.4909157009
288	0.4908132012
289	0.4906440844
290	0.4905187575
291	0.4903665872
292	0.4902151823
293	0.4900488025
294	0.4899183036
295	0.4896983397
296	0.4895828145
297	0.489445658
298	0.4892755303
299	0.489154873
300	0.4890490225
301	0.4888918873
302	0.4887292954
303	0.488567479
304	0.4884417302
305	0.4883157026
306	0.4881494406
307	0.4880000947
308	0.4878548423
309	0.487711993
310	0.4875530913
311	0.4873941004
312	0.4872373997
313	0.4871459773
314	0.4870193668
315	0.4868845782
316	0.4867409578
317	0.4866309837
318	0.4865472678
319	0.4863702887
320	0.4862348893
321	0.4860682778
322	0.4859782562
323	0.4858407882
324	0.485685757
325	0.4855829857
326	0.4854623835
327	0.4853310317
328	0.4851745713
329	0.485081159
330	0.4849411604
331	0.484809719
332	0.4846477155
333	0.4845116002
334	0.4843747644
335	0.4842465873
336	0.4840990758
337	0.4839877838
338	0.4838829184
339	0.483764821
340	0.4836268949
341	0.4834947775
342	0.4833567219
343	0.4832250053
344	0.4829899892
345	0.4828543472
346	0.4827242132
347	0.4826139851
348	0.4824671796
349	0.4823563039
350	0.4821763199
351	0.4820084299
352	0.4817261625
353	0.4816431319
354	0.4814674779
355	0.4813453406
356	0.4811474488
357	0.4810357712
358	0.4808911762
359	0.4807820976
360	0.4806306283
361	0.4805307308
362	0.4803404872
363	0.4802323619
364	0.4801458076
365	0.4799466197
366	0.4798228856
367	0.4797105313
368	0.4795703865
369	0.4794172056
370	0.4793357527
371	0.4791936455
372	0.4790606714
373	0.478947317
374	0.4788336286
375	0.4786828249
376	0.4785683095
377	0.4784297464
378	0.4782427166
379	0.4780867341
380	0.4779572083
381	0.4778173749
382	0.4777106787
383	0.4775450315
384	0.4774493977
385	0.4773258172
386	0.4771197713
387	0.4769473979
388	0.476808567
389	0.4766142164
390	0.4764836765
391	0.4763718408
392	0.4762294201
393	0.4761106841
394	0.4758243054
395	0.4757249505
396	0.475597711
397	0.4754775336
398	0.4753675853
399	0.4751227592
400	0.4749994079
401	0.474935695
402	0.4748383482
403	0.4747102666
404	0.4745555721
405	0.4744192308
406	0.4742992895
407	0.4741647668
408	0.4740573076
409	0.473950302
410	0.4738761502
411	0.4736820176
412	0.4736228115
413	0.4735083392
414	0.4733903353
415	0.4731801697
416	0.4730505736
417	0.4729216476
418	0.4727318174
419	0.4725208425
420	0.4724083281
421	0.4722739004
422	0.4721220444
423	0.4719693216
424	0.4718463384
425	0.4717301119
426	0.4716356842
427	0.4715078967
428	0.4713915732
429	0.4712735214
430	0.4710986392
431	0.4710118964
432	0.4708341512
433	0.470760749
434	0.4706673449
435	0.4705057367
436	0.4703738762
437	0.4702901946
438	0.4701983295
439	0.4701002431
440	0.4699872265
441	0.4698447883
442	0.4697412104
443	0.4696024605
444	0.4694572674
445	0.469339614
446	0.4692044575
447	0.4691018876
448	0.4689164448
449	0.4687935463
450	0.4686316133
451	0.4684856344
452	0.4683628962
453	0.4682218133
454	0.4680529859
455	0.4679221079
456	0.4678050026
457	0.4676753026
458	0.467543455
459	0.4674174095
460	0.4673182597
461	0.4672397144
462	0.4671068006
463	0.4669937777
464	0.4667763263
465	0.4666700756
466	0.4665513833
467	0.4664436346
468	0.4662276686
469	0.4661157059
470	0.4660212538
471	0.4658732831
472	0.4657429114
473	0.4656103246
474	0.4654537557
475	0.4653089684
476	0.4651801607
477	0.4650990878
478	0.4649453648
479	0.4648528632
480	0.4647480321
481	0.464626476
482	0.4644788717
483	0.4643521604
484	0.4641967003
485	0.4640823833
486	0.4639542258
487	0.463865862
488	0.4637396075
489	0.4636278679
490	0.4634896935
491	0.4633716329
492	0.4632324184
493	0.4631081984
494	0.4630007352
495	0.4628750392
496	0.4627891175
497	0.4626705623
498	0.4625217263
499	0.4624180839
500	0.4623146331
501	0.462237595
502	0.4621330109
503	0.462034659
504	0.4619583592
505	0.4618463441
506	0.4617232392
507	0.4615948627
508	0.4614562749
509	0.4613280441
510	0.4612342981
511	0.4610871218
512	0.4609928271
513	0.4608714583
514	0.460763323
515	0.4606938586
516	0.4606047989
517	0.4604692202
518	0.4603076327
519	0.4601566672
520	0.4600526138
521	0.4598763145
522	0.459797626
523	0.4596928848
524	0.4595928764
525	0.4594723418
526	0.4593685052
527	0.4592702227
528	0.4591665789
529	0.4590804773
530	0.4590150044
531	0.4589317181
532	0.4588608019
533	0.4587496557
534	0.4586356205
535	0.4584761098
536	0.4583902421
537	0.4582580396
538	0.4581500653
539	0.4580743172
540	0.457953424
541	0.4578444102
542	0.4577945414
543	0.4576829812
544	0.4575580459
545	0.4574342322
546	0.4573350121
547	0.4572173907
548	0.4571194704
549	0.4569857757
550	0.4568643653
551	0.4567553029
552	0.4566699984
553	0.4565882521
554	0.4564563984
555	0.4563037861
556	0.4561986379
557	0.4561029761
558	0.4560104947
559	0.4559545163
560	0.4558492866
561	0.4557897977
562	0.4556783004
563	0.455596251
564	0.4554778965
565	0.4553836477
566	0.4553024612
567	0.4552229366
568	0.4551358107
569	0.4550324747
570	0.4549353126
571	0.4548758242
572	0.4547779702
573	0.4546661661
574	0.4545086657
575	0.4543541634
576	0.4542251669
577	0.4540734377
578	0.4539442714
579	0.4538208792
580	0.4536976982
581	0.4535993874
582	0.4534891388
583	0.4533853562
584	0.4532858422
585	0.4531833974
586	0.453044757
587	0.4529224516
588	0.4528055038
589	0.4527012944
590	0.4525895669
591	0.4525231975
592	0.4523268856
593	0.4522366593
594	0.4521286008
595	0.4520649532
596	0.451985019
597	0.451836235
598	0.4517241584
599	0.4516284704
600	0.4515354502
601	0.4514326677
602	0.4513297024
603	0.4512034785
604	0.4510786276
605	0.4509581895
606	0.450800859
607	0.4506588237
608	0.4505613646
609	0.4504688338
610	0.4503637728
611	0.4502107928
612	0.4501052981
613	0.4499897586
614	0.4498435714
615	0.4497544913
616	0.4496687626
617	0.4495776438
618	0.449495021
619	0.4493197023
620	0.4491708822
621	0.4490435865
622	0.4489647495
623	0.4489056781
624	0.4487881186
625	0.4486487616
626	0.4485043471
627	0.4484054046
628	0.4482855868
629	0.4481930363
630	0.4481128267
631	0.4479819376
632	0.4478404378
633	0.4477242193
634	0.4476582793
635	0.4475740858
636	0.4474529045
637	0.4473795923
638	0.4472774858
639	0.4471670674
640	0.4470906651
641	0.4469863967
642	0.4468744828
643	0.4467405945
644	0.4466286996
645	0.4465189081
646	0.4464399938
647	0.4463725724
648	0.4462384808
649	0.4461071328
650	0.4460228324
651	0.4458918785
652	0.4458063759
653	0.4457341065
654	0.4456203217
655	0.4454923749
656	0.44540433
657	0.4452596039
658	0.4451349707
659	0.4450150214
660	0.4449111904
661	0.4448217332
662	0.4447326966
663	0.4446360604
664	0.4445354965
665	0.444444666
666	0.4443287937
667	0.4442585262
668	0.444168681
669	0.4440845795
670	0.4439826651
671	0.443906083
672	0.4437660113
673	0.4436611319
674	0.4435847604
675	0.4434925896
676	0.4433904476
677	0.4432556183
678	0.4431781831
679	0.4430648169
680	0.4429541829
681	0.4428228362
682	0.4427727329
683	0.4426593595
684	0.4425612958
685	0.4424104312
686	0.4423085088
687	0.4421630424
688	0.4420491525
689	0.4419789942
690	0.4418558319
691	0.4417637636
692	0.4416718243
693	0.4415818121
694	0.4415127294
695	0.4413967917
696	0.4413319775
697	0.4412787802
698	0.4411644991
699	0.4410229687
700	0.4408968201
701	0.4407908347
702	0.4407163118
703	0.4406146603
704	0.4405254665
705	0.4404494277
706	0.440368438
707	0.4402420598
708	0.4401832115
709	0.4400811541
710	0.4399345835
711	0.4398450984
712	0.4397694621
713	0.4396646625
714	0.4395308277
715	0.4393932848
716	0.439315591
717	0.4392132195
718	0.4391536301
719	0.4390436195
720	0.4389475807
721	0.4388480222
722	0.4387677967
723	0.4386663396
724	0.4386041221
725	0.4385462202
726	0.4384118581
727	0.4383162693
728	0.4382464623
729	0.4381734424
730	0.4380790192
731	0.437988883
732	0.4379139695
733	0.4378050866
734	0.4376835448
735	0.4375928732
736	0.4375000989
737	0.4374285251
738	0.4373319491
739	0.43719833
740	0.4371234092
741	0.4370362527
742	0.4369613495
743	0.4368978285
744	0.436791786
745	0.4367050846
746	0.4366134854
747	0.4364974116
748	0.4363907559
749	0.4362960832
750	0.436223853
751	0.4360931834
752	0.4359931953
753	0.4358773015
754	0.4357744972
755	0.43566006
756	0.4355488294
757	0.4354628294
758	0.4353803751
759	0.4352645161
760	0.4351494423
761	0.4350375489
762	0.4349360964
763	0.43486123
764	0.4347735714
765	0.4346223345
766	0.4345068163
767	0.4343784348
768	0.43429028
769	0.4341730798
770	0.4340613568
771	0.433930787
772	0.4337970735
773	0.4336450899
774	0.4334947157
775	0.4334215563
776	0.4333592474
777	0.4332388859
778	0.4331593827
779	0.4330528198
780	0.4329288898
781	0.4328435412
782	0.4327372309
783	0.4326416851
784	0.4325570475
785	0.4324599605
786	0.4324000059
787	0.4322794741
788	0.4321386358
789	0.4320311659
790	0.4319339281
791	0.4318650532
792	0.4317414488
793	0.4316206897
794	0.431504158
795	0.431444739
796	0.4313474613
797	0.4312707637
798	0.4312229608
799	0.4311329109
800	0.4310174367
801	0.4308903542
802	0.4308168452
803	0.4307113896
804	0.430641877
805	0.4305426597
806	0.43047135
807	0.4304031149
808	0.4302942592
809	0.4301986437
810	0.4300987692
811	0.4299723394
812	0.4299063366
813	0.4298503237
814	0.4297470161
815	0.429622901
816	0.4295402994
817	0.429450672
818	0.4293818889
819	0.4293055355
820	0.4292326294
821	0.4291518526
822	0.4290643155
823	0.4290207505
824	0.4288960071
825	0.4288028818
826	0.4286989399
827	0.4286483456
828	0.4285699994
829	0.4285008999
830	0.428425813
831	0.4283358509
832	0.4282388854
833	0.42811732
834	0.4280680712
835	0.4279601509
836	0.4278710362
837	0.4277900331
838	0.4276856921
839	0.4275880417
840	0.4274562343
841	0.4273784152
842	0.4272950783
843	0.4272167106
844	0.4271130513
845	0.4270548084
846	0.4269622819
847	0.4268622221
848	0.4267806159
849	0.4267028608
850	0.4266195132
851	0.4265469638
852	0.4264516251
853	0.426383041
854	0.4263199175
855	0.4262377698
856	0.4261785782
857	0.4260834281
858	0.4260303654
859	0.4259564249
860	0.4258546023
861	0.4257604461
862	0.4256120463
863	0.4255433199
864	0.4254108543
865	0.4253164511
866	0.4252194093
867	0.4251201925
868	0.4250517595
869	0.4248861022
870	0.4247684091
871	0.4247228492
872	0.4246790726
873	0.4245633431
874	0.4244756118
875	0.4243672058
876	0.424265322
877	0.4241836495
878	0.4240581137
879	0.4239820693
880	0.4239168778
881	0.4238344359
882	0.4237632941
883	0.423676822
884	0.4235660056
885	0.4234830825
886	0.423394068
887	0.4233317276
888	0.4232258679
889	0.4231127203
890	0.4230444128
891	0.422927728
892	0.4228618353
893	0.422764403
894	0.4226886194
895	0.422585223
896	0.4225122972
897	0.4224284264
898	0.4223432929
899	0.4222356751
900	0.4221695238
901	0.4220489062
902	0.4219284833
903	0.4218134727
904	0.4216967744
905	0.4215842276
906	0.4215241606
907	0.4214699809
908	0.421320481
909	0.4212129176
910	0.4211195075
911	0.421033854
912	0.4209673331
913	0.4208535529
914	0.4208018704
915	0.4207074805
916	0.4205767422
917	0.420490615
918	0.4203821219
919	0.4203002146
920	0.4202013872
921	0.4201442029
922	0.4200919819
923	0.4200330636
924	0.4199080366
925	0.4198297414
926	0.4197550079
927	0.4196589849
928	0.4195176908
929	0.4194516845
930	0.4193821755
931	0.419298526
932	0.4191899192
933	0.4191006316
934	0.4190174601
935	0.4189220565
936	0.4188274884
937	0.4186978444
938	0.4186179073
939	0.418531826
940	0.4184609887
941	0.4183774092
942	0.4183120128
943	0.4182539999
944	0.4181972401
945	0.4181206753
946	0.4180469444
947	0.417958876
948	0.4178869203
949	0.4178025171
950	0.41769281
951	0.4176078649
952	0.4175246905
953	0.4174392607
954	0.4173763169
955	0.4172661727
956	0.4171498839
957	0.4170911752
958	0.4169842339
959	0.4168671005
960	0.4167842449
961	0.4166706082
962	0.4166049744
963	0.4165533739
964	0.4164375357
965	0.4163749637
966	0.4162621848
967	0.4161836053
968	0.4161222235
969	0.4160129337
970	0.4159330753
971	0.4158487903
972	0.415767166
973	0.4156801691
974	0.4156161436
975	0.4155118439
976	0.4154031959
977	0.4153153535
978	0.4152120134
979	0.4151174391
980	0.4150497258
981	0.4149290986
982	0.4148287653
983	0.4147171888
984	0.4146062085
985	0.4145314939
986	0.4144651512
987	0.4144220472
988	0.4143703818
989	0.414294644
990	0.414209486
991	0.4141476156
992	0.4140614997
993	0.4139756836
994	0.4139009495
995	0.4138373426
996	0.4137568083
997	0.4136752579
998	0.4136176677
999	0.4135424318
